Block,BlockHa
A024-Red,3.3
A030A,0.21
A041A-Red,0.5
A063A,0.21
A078-Red,0.04
A118-Red,3.62
A145,0.04
A156A,0.01
A27,0.38
A311-Red,1.89
A313,9.3
A315-Red,0.02
A323,0.21
A348-Red,4.47
A397,0.3
A450-Red,0.1
B24,3.8
B4,5.21
BN006,4.09
BN006,0.82
BY002,0.06
BY006-Red,0.22
BY018,0.21
D071,0.25
D076,0.46
D080,0.04
D092,0.05
D109,0.11
D121,0.54
D14,3.85
DA038,0.04
DA038B,0.38
DA044,15.67
DA058,0.49
DC014-Red,0.15
DC014-Red,5.13
DW017A,0.25
DW017A,7.2
EN1,
EN22,0.15
F067,0.14
F131-Red,2.24
F145-Red,3.43
F185,0.15
F212,0.68
G025,0.15
G081,0.13
G115,2.08
G119,0.36
G138,0.78
G183A,0.2
GB020A,0.05
H123,0.46
HL004,0.35
HL004A,0.3
HL006,0.72
HL034,0.12
HL035,0.1
HS000,0.08
HS003,0.74
HS014,0.33
HS014,0.02
I024,2
I055,0.44
I056,0.35
I069,9.5
I085,0.25
I104,0.37
J049A,0.05
J057,6.86
J168,0.2
J176,1.5
J193,1.17
J297,2.11
K079,0.21
K080,0.6
K168,0.06
K169,1.06
K171,0.09
K183,2.38
K183A,0.5
KB019,0.6
KB025B,1.11
L023,0.1
L074A,0.2
L106,0.31
L124,0.5
L131,0.1
L162,8.48
L32,0.09
L93,2.94
LS022,0.18
LS027,0.1
LS032,0.52
LS069A,0.3
LS069C,0.05
LS070,0.31
LS091,0.4
LS091A,0.15
LS103,0.45
M027-Red,1.17
M45,0.07
MK005,0.06
MK028,0.16
MK053,0.86
MK054A,0.54
MK058,0.36
MK070,1.64
MK074,0.2
N024A,5.56
N030,0.09
N040,0.53
N143-Red,0.07
N178,1.4
N183,3.91
N212B,0.45
N213,0.08
O438,0.39
O463,0.43
O559,5.51
P000A,0.4
P109,0.34
P123,0.18
P145,1.23
P166,3.14
P167,0.33
PB006,0.07
PB060,0.06
PB062A,0.06
R24,7.77
R69-Red,0.88
SD004,0.21
T009,0.63
U011A,0.05
