Block,BlockHa
A000-Red,60.05
A000A-Red,76.03
A013-Red,27.13
A030A,20.84
A033-Red,34.98
A038-Red,13.64
EN10,19.33
A041-Red,30.6
A041A-Red,88.11
A043,52.03
A054,18.66
EN17,11.75
A054A-Red,29.49
A057-Red,19.73
EN22,11.24
A058-Red,55.79
A063A,19.29
A064-Red,65
A078-Red,58.68
A091-Red,45.18
A094A-Red,10.25
A096-Red,16.22
EN14,11.19
A111-Red,45.49
A120-Red,31.83
A121-Red,57.87
A123-Red,33.74
A131-Red,14.87
A133-Red,4.1
A145A,3.26
A157-Red,28.81
A160,5.78
A165,18.08
A166-Red,19.7
A179-Red,42.23
B14,11.04
A179A-Red,18.05
A179B,6.32
A179D,32.74
A179V-Red,14.07
A180-Red,64.98
A181,13.3
A184-Red,27.02
A187,20.48
A199-Red,4.46
A200A,13.78
A219,12.69
A227,8.12
A228-Red,30.85
A229-Red,9.93
P11A5A,15.07
P11A6,5.03
A230-Red,13.63
A230A-Red,19.66
A230B-Red,20.55
A231-Red,20.11
A235-Red,24.08
A237,5.77
B13,30.92
A251A-Red,4.48
A255,8.35
A259,8.8
A264-Red,20.11
A266-Red,69.35
A26A,12.44
A278-Red,1.19
A279-Red,24.8
A280-Red,12.48
A281-Red,13.01
A282-Red,29.8
A283-Red,36.57
A284,11.16
A285-Red,25.47
A286-Red,21.65
A292-Red,65.94
A297-Red,38.36
P16A,10.05
A298B,19.31
A299A,3
A300B,6.01
A303A,13.33
A304,13.11
A310-Red,33.46
A313A-Red,31.27
A313B-Red,8.47
A314-Red,20
A315-Red,36.8
A317-Red,20.75
A318-Red,20.45
A319-Red,48.14
A320-Red,36.1
A320A-Red,13.21
A320B-Red,7.53
A321-Red,23.69
A322-Red,12.64
A322A,41.6
A323,88.9
A324,43.21
A327,12.01
T332,7.64
A328,9.83
A329,13.48
A330A-Red,2.52
A331-Red,34.44
A332-Red,29.07
A333-Red,7.55
A335-Red,12.41
A336-Red,54.8
A336A-Red,3.59
A337-Red,7.8
A338A,2.29
A342,43.06
A349,10.37
A36,5.42
T035,8.67
A368,4.59
A38,14.49
A388,11.01
A39,33.27
A391,15.84
A396-Red,14.88
P37,6.53
A397,19.66
A398-Red,35.7
A408-Red,30.88
A413-Red,42.24
A43,10.79
A444-Red,19.23
A445-Red,31.92
A447-Red,8.65
A450-Red,20.3
A47,24.79
A501-Red,10.3
P49,49.2
A52,23.92
T177,9.69
A53,10.82
A53A,11.04
B000-Red,11.52
B109,50.29
B109A,37.65
B122,40.47
B130Burn,7.17
B131,70.55
B139,12.7
B187,59.08
BE009,11.65
BN002,26.53
BE010,6.18
BE011,10.8
BE012,4.52
BE013,5.89
BE014,5.15
BE015,11.76
BY001,38.58
BY004,9.63
BY005,9.67
BY009-Red,21.79
BY017,19.66
BY018,25.74
C000-Red,20.2
C026D,28.78
C036-Red,11.65
C043,21.47
C104,10.34
C26,31.59
C45-Red,30.04
D005,73.58
D047,56.07
D076,24.93
P36,15.78
RP031,9.78
D080,29.37
D092,90.3
T012C,2.08
D109,10.16
D11,61.67
D12,29.45
D121,34.93
D15A,22.23
D17X,13.81
D18,40.07
D23,23.3
D33,36.33
DA059,0.96
DC000,58.35
DC012,15.94
DC015,25.54
